DisplayName,Enabled,SamAccountName,UserPrincipalName,Department,Path,GivenName,Surname,Title,City,Company,Country
Ronen Kraif,TRUE,RonenK,HectorBi@contoso.local,HR,"OU=HR,DC=contoso,DC=local",Ronen,Kraif,Recruiter,Tel Aviv,contoso.local,IL
Shani Melamed,TRUE,ShaniM,GaryBr@contoso.local,HelpDesk,"OU=HelpDesk,DC=contoso,DC=local",Shani,Melamed,Help Desk Technician,Tel Aviv,contoso.local,IL
Hector Bench,TRUE,HectorB,HectorB@contoso.local,HelpDesk,"OU=HelpDesk,DC=contoso,DC=local",Hector,Bench,Help Desk Technician,Tel Aviv,contoso.local,IL
Gary Billingsley,TRUE,GaryB,GaryB@contoso.local,HelpDesk,"OU=HelpDesk,DC=contoso,DC=local",Gary,Billingsley,Help Desk Technician,Tel Aviv,contoso.local,IL
Mildred Coleman,TRUE,MildredC,MildredC@contoso.local,HelpDesk,"OU=HelpDesk,DC=contoso,DC=local",Mildred,Coleman,Help Desk Technician,Tel Aviv,contoso.local,IL
Christopher Smith,TRUE,ChristopherS,ChristopherS@contoso.local,HelpDesk,"OU=HelpDesk,DC=contoso,DC=local",Christopher,Smith,Help Desk Technician,Tel Aviv,contoso.local,IL
Christy Zahn,TRUE,ChristyZ,ChristyZ@contoso.local,HelpDesk,"OU=HelpDesk,DC=contoso,DC=local",Christy,Zahn,Help Desk Technician,Tel Aviv,contoso.local,IL
Kenneth Gaines,TRUE,KennethG,KennethG@contoso.local,Management,"OU=Management,DC=contoso,DC=local",Kenneth,Gaines,CEO (Chief Executive Officer),Tel Aviv,contoso.local,IL
James Bray,TRUE,JamesB,JamesB@contoso.local,Management,"OU=Management,DC=contoso,DC=local",James,Bray,COO (Chief Operating Officer),Tel Aviv,contoso.local,IL
Kevin Buerger,TRUE,KevinB,KevinB@contoso.local,Management,"OU=Management,DC=contoso,DC=local",Kevin,Buerger,CFO (Chief Financial Officer),Tel Aviv,contoso.local,IL
Christopher Maglio,TRUE,ChristopherM,ChristopherM@contoso.local,Management,"OU=Management,DC=contoso,DC=local",Christopher,Maglio,CTO (Chief Technology Officer),Tel Aviv,contoso.local,IL
Bryon Evans,TRUE,BryonE,BryonE@contoso.local,Management,"OU=Management,DC=contoso,DC=local",Bryon,Evans,CIO (Chief Information Officer),Tel Aviv,contoso.local,IL
Richard Kurtz,TRUE,RichardK,RichardK@contoso.local,Management,"OU=Management,DC=contoso,DC=local",Richard,Kurtz,CMO (Chief Marketing Officer),Tel Aviv,contoso.local,IL
Lawrence Turner,TRUE,LawrenceT,LawrenceT@contoso.local,Management,"OU=Management,DC=contoso,DC=local",Lawrence,Turner,CHRO (Chief Human Resources Officer),Tel Aviv,contoso.local,IL
John White,TRUE,JohnW,JohnW@contoso.local,Management,"OU=Management,DC=contoso,DC=local",John,White,CAO (Chief Administrative Officer),Tel Aviv,contoso.local,IL
Bill Scott,TRUE,BillS,BillS@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Bill,Scott,Finance Manager,Tel Aviv,contoso.local,IL
Marion Nash,TRUE,MarionN,MarionN@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Marion,Nash,Finance Manager,Tel Aviv,contoso.local,IL
Betty Karp,TRUE,BettyK,BettyK@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Betty,Karp,Financial Analyst,Tel Aviv,contoso.local,IL
Joan Pridgen,TRUE,JoanP,JoanP@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Joan,Pridgen,Senior Accountant,Tel Aviv,contoso.local,IL
Edward Boyles,TRUE,EdwardB,EdwardB@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Edward,Boyles,Financial Analyst,Tel Aviv,contoso.local,IL
Scott Zambrano,TRUE,ScottZ,ScottZ@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Scott,Zambrano,Financial Analyst,Tel Aviv,contoso.local,IL
Eugene Isabel,TRUE,EugeneI,EugeneI@contoso.local,Finance,"OU=Finance,DC=contoso,DC=local",Eugene,Isabel,Senior Accountant,Tel Aviv,contoso.local,IL
Fred Anderson,TRUE,FredA,FredA@contoso.local,Legal,"OU=Legal,DC=contoso,DC=local",Fred,Anderson,Chief Legal Officer (CLO),Tel Aviv,contoso.local,IL
Rachel Towns,TRUE,RachelT,RachelT@contoso.local,Legal,"OU=Legal,DC=contoso,DC=local",Rachel,Towns,Associate General Counsel,Tel Aviv,contoso.local,IL
Rebekah Brown,TRUE,RebekahB,RebekahB@contoso.local,Legal,"OU=Legal,DC=contoso,DC=local",Rebekah,Brown,Legal Counsel,Tel Aviv,contoso.local,IL
Rachel Perrodin,TRUE,RachelP,RachelP@contoso.local,Strategy ,"OU=Strategy,DC=contoso,DC=local",Rachel,Perrodin,Chief Strategy Officer (CSO),Tel Aviv,contoso.local,IL
Charles Huff,TRUE,CharlesH,CharlesH@contoso.local,Strategy ,"OU=Strategy,DC=contoso,DC=local",Charles,Huff,Strategy Director,Tel Aviv,contoso.local,IL
Peter Anderson,TRUE,PeterA,PeterA@contoso.local,Strategy ,"OU=Strategy,DC=contoso,DC=local",Peter,Anderson,Strategy Manager,Tel Aviv,contoso.local,IL
Vanessa Lemay,TRUE,VanessaL,VanessaL@contoso.local,Strategy ,"OU=Strategy,DC=contoso,DC=local",Vanessa,Lemay,Strategy Analyst,Tel Aviv,contoso.local,IL
Diane Mertens,TRUE,DianeM,DianeM@contoso.local,Strategy ,"OU=Strategy,DC=contoso,DC=local",Diane,Mertens,Strategy Analyst,Tel Aviv,contoso.local,IL
Charlene Gilchrist,TRUE,CharleneG,CharleneG@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Charlene,Gilchrist,Chief Sales Officer (CSO),Tel Aviv,contoso.local,IL
Angelia Baker,TRUE,AngeliaB,AngeliaB@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Angelia,Baker,Sales Director,Tel Aviv,contoso.local,IL
Justin Alfaro,TRUE,JustinA,JustinA@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Justin,Alfaro,Sales Manager,Tel Aviv,contoso.local,IL
Anita Horton,TRUE,AnitaH,AnitaH@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Anita,Horton,Account Manager,Tel Aviv,contoso.local,IL
Robert Ziegler,TRUE,RobertZ,RobertZ@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Robert,Ziegler,Account Manager,Tel Aviv,contoso.local,IL
Michael Guevara,TRUE,MichaelG,MichaelG@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Michael,Guevara,Account Manager,Tel Aviv,contoso.local,IL
Ashley Wallace,TRUE,AshleyW,AshleyW@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Ashley,Wallace,Account Manager,Tel Aviv,contoso.local,IL
Gordon Nathan,TRUE,GordonN,GordonN@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Gordon,Nathan,Account Manager,Tel Aviv,contoso.local,IL
Bruce Hall,TRUE,BruceH,BruceH@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Bruce,Hall,Sales Representative,Tel Aviv,contoso.local,IL
Donald Bowyer,TRUE,DonaldB,DonaldB@contoso.local,Sales,"OU=Sales,DC=contoso,DC=local",Donald,Bowyer,Sales Representative,Tel Aviv,contoso.local,IL
Alice Gordillo,TRUE,AliceG,AliceG@contoso.local,RND,"OU=RND,DC=contoso,DC=local",Alice,Gordillo,R&D Director,Tel Aviv,contoso.local,IL
Patrick Snyder,TRUE,PatrickS,PatrickS@contoso.local,RND,"OU=RND,DC=contoso,DC=local",Patrick,Snyder,R&D Manager,Tel Aviv,contoso.local,IL
Dorothy Frank,TRUE,DorothyF,DorothyF@contoso.local,RND,"OU=RND,DC=contoso,DC=local",Dorothy,Frank,Product Development Manager,Tel Aviv,contoso.local,IL
Bobbie O'Neill,TRUE,BobbieO,BobbieO@contoso.local,RND,"OU=RND,DC=contoso,DC=local",Bobbie,O'Neill,Product Development Manager,Tel Aviv,contoso.local,IL
Roger Zeigler,TRUE,RogerZ,RogerZ@contoso.local,RND,"OU=RND,DC=contoso,DC=local",Roger,Zeigler,Technical Lead,Tel Aviv,contoso.local,IL
Miriam Edney,TRUE,MiriamE,MiriamE@contoso.local,RND,"OU=RND,DC=contoso,DC=local",Miriam,Edney,Technical Lead,Tel Aviv,contoso.local,IL
Catherine Richardson,TRUE,CatherineR,CatherineR@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Catherine,Richardson,Operations Manager,Tel Aviv,contoso.local,IL
Edward Mayon,TRUE,EdwardM,EdwardM@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Edward,Mayon,Operations Manager,Tel Aviv,contoso.local,IL
Frederick Conard,TRUE,FrederickC,FrederickC@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Frederick,Conard,Operations Manager,Tel Aviv,contoso.local,IL
John Lucus,TRUE,JohnL,JohnL@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",John,Lucus,Operations Manager,Tel Aviv,contoso.local,IL
Patricia Phillips,TRUE,PatriciaP,PatriciaP@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Patricia,Phillips,Supply Chain Manager,Tel Aviv,contoso.local,IL
Edwin Locklear,TRUE,EdwinL,EdwinL@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Edwin,Locklear,Logistics Manager,Tel Aviv,contoso.local,IL
Norbert Gill,TRUE,NorbertG,NorbertG@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Norbert,Gill,Logistics Manager,Tel Aviv,contoso.local,IL
Ronald Lockhart,TRUE,RonaldL,RonaldL@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Ronald,Lockhart,Production Manager,Tel Aviv,contoso.local,IL
Janet McLain,TRUE,JanetM,JanetM@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Janet,McLain,Production Manager,Tel Aviv,contoso.local,IL
Lauren Sims,TRUE,LaurenS,LaurenS@contoso.local,Operations,"OU=Operations,DC=contoso,DC=local",Lauren,Sims,Production Manager,Tel Aviv,contoso.local,IL
Lester Irvin,TRUE,LesterI,LesterI@contoso.local,,"CN=Users,DC=contoso,DC=local",Lester,Irvin,Electromechanical engineering technician,Tel Aviv,contoso.local,IL
Jaime McGinnis,TRUE,JaimeM,JaimeM@contoso.local,,"CN=Users,DC=contoso,DC=local",Jaime,McGinnis,Web writer,Tel Aviv,contoso.local,IL
Richard Neal,TRUE,RichardN,RichardN@contoso.local,,"CN=Users,DC=contoso,DC=local",Richard,Neal,Furniture finisher,Tel Aviv,contoso.local,IL
Ruth Crawford,TRUE,RuthC,RuthC@contoso.local,,"CN=Users,DC=contoso,DC=local",Ruth,Crawford,Fitness worker,Tel Aviv,contoso.local,IL
Sharon Norman,TRUE,SharonN,SharonN@contoso.local,,"CN=Users,DC=contoso,DC=local",Sharon,Norman,Information officer,Tel Aviv,contoso.local,IL
Teresa Klatt,TRUE,TeresaK,TeresaK@contoso.local,,"CN=Users,DC=contoso,DC=local",Teresa,Klatt,Dental assistant,Tel Aviv,contoso.local,IL
Cherelle Page,TRUE,CherelleP,CherelleP@contoso.local,,"CN=Users,DC=contoso,DC=local",Cherelle,Page,Zoologist,Tel Aviv,contoso.local,IL
Cedric Crawford,TRUE,CedricC,CedricC@contoso.local,,"CN=Users,DC=contoso,DC=local",Cedric,Crawford,Foot doctor,Tel Aviv,contoso.local,IL
Charles Grossman,TRUE,CharlesG,CharlesG@contoso.local,,"CN=Users,DC=contoso,DC=local",Charles,Grossman,Group exercise instructor,Tel Aviv,contoso.local,IL
Willie Finley,TRUE,WillieF,WillieF@contoso.local,,"CN=Users,DC=contoso,DC=local",Willie,Finley,Prosthetics technician,Tel Aviv,contoso.local,IL
Thomas Lomas,TRUE,ThomasL,ThomasL@contoso.local,,"CN=Users,DC=contoso,DC=local",Thomas,Lomas,Registered dietitian,Tel Aviv,contoso.local,IL
Alvin Knutsen,TRUE,AlvinK,AlvinK@contoso.local,,"CN=Users,DC=contoso,DC=local",Alvin,Knutsen,Biological-physical anthropologist,Tel Aviv,contoso.local,IL
Joyce Abraham,TRUE,JoyceA,JoyceA@contoso.local,,"CN=Users,DC=contoso,DC=local",Joyce,Abraham,Brokerage sales assistant,Tel Aviv,contoso.local,IL
Brian Botsford,TRUE,BrianB,BrianB@contoso.local,,"CN=Users,DC=contoso,DC=local",Brian,Botsford,Industrial-organizational psychologist,Tel Aviv,contoso.local,IL
Vera Jordan,TRUE,VeraJ,VeraJ@contoso.local,,"CN=Users,DC=contoso,DC=local",Vera,Jordan,Charter bus driver,Tel Aviv,contoso.local,IL
Oscar Hicks,TRUE,OscarH,OscarH@contoso.local,,"CN=Users,DC=contoso,DC=local",Oscar,Hicks,Recreational therapist,Tel Aviv,contoso.local,IL
Jorge Mosley,TRUE,JorgeM,JorgeM@contoso.local,,"CN=Users,DC=contoso,DC=local",Jorge,Mosley,Maitre d,Tel Aviv,contoso.local,IL
Daniel Maxwell,TRUE,DanielM,DanielM@contoso.local,,"CN=Users,DC=contoso,DC=local",Daniel,Maxwell,Line repairer,Tel Aviv,contoso.local,IL
Manuela Renfro,TRUE,ManuelaR,ManuelaR@contoso.local,,"CN=Users,DC=contoso,DC=local",Manuela,Renfro,Armed Forces,Tel Aviv,contoso.local,IL
John Harrell,TRUE,JohnH,JohnH@contoso.local,,"CN=Users,DC=contoso,DC=local",John,Harrell,Dairy scientist,Tel Aviv,contoso.local,IL
Brandon Lutz,TRUE,BrandonL,BrandonL@contoso.local,,"CN=Users,DC=contoso,DC=local",Brandon,Lutz,Plasterer,Tel Aviv,contoso.local,IL
Christie McAlpine,TRUE,ChristieM,ChristieM@contoso.local,,"CN=Users,DC=contoso,DC=local",Christie,McAlpine,Office helper,Tel Aviv,contoso.local,IL
Andre Valadez,TRUE,AndreV,AndreV@contoso.local,,"CN=Users,DC=contoso,DC=local",Andre,Valadez,Crossing guard,Tel Aviv,contoso.local,IL
Renee Koons,TRUE,ReneeK,ReneeK@contoso.local,,"CN=Users,DC=contoso,DC=local",Renee,Koons,Collision repair and refinish technician,Tel Aviv,contoso.local,IL
Lori McKinney,TRUE,LoriM,LoriM@contoso.local,,"CN=Users,DC=contoso,DC=local",Lori,McKinney,Musical instrument tuner,Tel Aviv,contoso.local,IL
Renee Johnson,TRUE,ReneeJ,ReneeJ@contoso.local,,"CN=Users,DC=contoso,DC=local",Renee,Johnson,Bench technician,Tel Aviv,contoso.local,IL
Justin Wynn,TRUE,JustinW,JustinW@contoso.local,,"CN=Users,DC=contoso,DC=local",Justin,Wynn,Addictions nurse,Tel Aviv,contoso.local,IL
John Thompson,TRUE,JohnT,JohnT@contoso.local,,"CN=Users,DC=contoso,DC=local",John,Thompson,Health information technician,Tel Aviv,contoso.local,IL
Jose Riendeau,TRUE,JoseR,JoseR@contoso.local,,"CN=Users,DC=contoso,DC=local",Jose,Riendeau,Internal auditor,Tel Aviv,contoso.local,IL
Katharine Bonnet,TRUE,KatharineB,KatharineB@contoso.local,,"CN=Users,DC=contoso,DC=local",Katharine,Bonnet,Conference interpreter,Tel Aviv,contoso.local,IL
Richard Martinez,TRUE,RichardM,RichardM@contoso.local,,"CN=Users,DC=contoso,DC=local",Richard,Martinez,Project control specialist,Tel Aviv,contoso.local,IL
Jose Ferrell,TRUE,JoseF,JoseF@contoso.local,,"CN=Users,DC=contoso,DC=local",Jose,Ferrell,Exercise instructor,Tel Aviv,contoso.local,IL
Yvette Drake,TRUE,YvetteD,YvetteD@contoso.local,,"CN=Users,DC=contoso,DC=local",Yvette,Drake,Computer security specialist,Tel Aviv,contoso.local,IL
Enrique Miller,TRUE,EnriqueM,EnriqueM@contoso.local,,"CN=Users,DC=contoso,DC=local",Enrique,Miller,Urban and regional planner,Tel Aviv,contoso.local,IL
Melissa Delong,TRUE,MelissaD,MelissaD@contoso.local,,"CN=Users,DC=contoso,DC=local",Melissa,Delong,Electrician,Tel Aviv,contoso.local,IL
John Ballard,TRUE,JohnB,JohnB@contoso.local,,"CN=Users,DC=contoso,DC=local",John,Ballard,Surgeons,Tel Aviv,contoso.local,IL
William Wilkinson,TRUE,WilliamW,WilliamW@contoso.local,,"CN=Users,DC=contoso,DC=local",William,Wilkinson,Erector,Tel Aviv,contoso.local,IL
Patricia Sanchez,TRUE,PatriciaS,PatriciaS@contoso.local,,"CN=Users,DC=contoso,DC=local",Patricia,Sanchez,Chiropractor,Tel Aviv,contoso.local,IL
Mary Coletti,TRUE,MaryC,MaryC@contoso.local,,"CN=Users,DC=contoso,DC=local",Mary,Coletti,Safety technician,Tel Aviv,contoso.local,IL
Luis Triplett,TRUE,LuisT,LuisT@contoso.local,,"CN=Users,DC=contoso,DC=local",Luis,Triplett,Safety and health practitioner,Tel Aviv,contoso.local,IL
Martha Griffin,TRUE,MarthaG,MarthaG@contoso.local,,"CN=Users,DC=contoso,DC=local",Martha,Griffin,Marketing specialist,Tel Aviv,contoso.local,IL
Joshua Fitzpatrick,TRUE,JoshuaF,JoshuaF@contoso.local,,"CN=Users,DC=contoso,DC=local",Joshua,Fitzpatrick,Courier,Tel Aviv,contoso.local,IL
Wayne Spangler,TRUE,WayneS,WayneS@contoso.local,,"CN=Users,DC=contoso,DC=local",Wayne,Spangler,"Coin, vending, and amusement machine servicer repairer",Tel Aviv,contoso.local,IL
Beatrice Peoples,TRUE,BeatriceP,BeatriceP@contoso.local,,"CN=Users,DC=contoso,DC=local",Beatrice,Peoples,Pathologist,Tel Aviv,contoso.local,IL
Jack Odom,TRUE,JackO,JackO@contoso.local,,"CN=Users,DC=contoso,DC=local",Jack,Odom,Gas compressor and gas pumping station operator,Tel Aviv,contoso.local,IL
John Archer,TRUE,JohnA,JohnA@contoso.local,,"CN=Users,DC=contoso,DC=local",John,Archer,Federal Bureau of Investigation agent,Tel Aviv,contoso.local,IL
Yvonne Ojeda,TRUE,YvonneO,YvonneO@contoso.local,,"CN=Users,DC=contoso,DC=local",Yvonne,Ojeda,Cost estimator,Tel Aviv,contoso.local,IL
Leslie Rasmussen,TRUE,LeslieR,LeslieR@contoso.local,,"CN=Users,DC=contoso,DC=local",Leslie,Rasmussen,Preschool teacher,Tel Aviv,contoso.local,IL
Gary Wilcox,TRUE,GaryW,GaryW@contoso.local,,"CN=Users,DC=contoso,DC=local",Gary,Wilcox,Vocational nurse,Tel Aviv,contoso.local,IL
Calvin Lewis,TRUE,CalvinL,CalvinL@contoso.local,,"CN=Users,DC=contoso,DC=local",Calvin,Lewis,Deckhand,Tel Aviv,contoso.local,IL
Michael Oliver,TRUE,MichaelO,MichaelO@contoso.local,,"CN=Users,DC=contoso,DC=local",Michael,Oliver,Mathematician,Tel Aviv,contoso.local,IL
Donna Smith,TRUE,DonnaS,DonnaS@contoso.local,,"CN=Users,DC=contoso,DC=local",Donna,Smith,Licensed practical nurse,Tel Aviv,contoso.local,IL
Cora Curry,TRUE,CoraC,CoraC@contoso.local,,"CN=Users,DC=contoso,DC=local",Cora,Curry,Manufacturers,Tel Aviv,contoso.local,IL
Constance Mundy,TRUE,ConstanceM,ConstanceM@contoso.local,,"CN=Users,DC=contoso,DC=local",Constance,Mundy,Maintenance technician,Tel Aviv,contoso.local,IL
Gregory Wolter,TRUE,GregoryW,GregoryW@contoso.local,,"CN=Users,DC=contoso,DC=local",Gregory,Wolter,Bill and account collector,Tel Aviv,contoso.local,IL
Joseph Holden,TRUE,JosephH,JosephH@contoso.local,,"CN=Users,DC=contoso,DC=local",Joseph,Holden,Labor economist,Tel Aviv,contoso.local,IL
Hubert Russell,TRUE,HubertR,HubertR@contoso.local,,"CN=Users,DC=contoso,DC=local",Hubert,Russell,Occupational health and safety technician,Tel Aviv,contoso.local,IL
Francine Powell,TRUE,FrancineP,FrancineP@contoso.local,,"CN=Users,DC=contoso,DC=local",Francine,Powell,Computer technology trainer,Tel Aviv,contoso.local,IL
Kathy Blais,TRUE,KathyB,KathyB@contoso.local,,"CN=Users,DC=contoso,DC=local",Kathy,Blais,Stock trader,Tel Aviv,contoso.local,IL
Joseph Gowdy,TRUE,JosephG,JosephG@contoso.local,,"CN=Users,DC=contoso,DC=local",Joseph,Gowdy,Registered dietitian,Tel Aviv,contoso.local,IL
Judy Egan,TRUE,JudyE,JudyE@contoso.local,,"CN=Users,DC=contoso,DC=local",Judy,Egan,Chemical engineer,Tel Aviv,contoso.local,IL
Anita Ball,TRUE,AnitaB,AnitaB@contoso.local,,"CN=Users,DC=contoso,DC=local",Anita,Ball,Audiologist,Tel Aviv,contoso.local,IL
Ebony Muller,TRUE,EbonyM,EbonyM@contoso.local,,"CN=Users,DC=contoso,DC=local",Ebony,Muller,Geological engineer,Tel Aviv,contoso.local,IL
Tommy Davis,TRUE,TommyD,TommyD@contoso.local,,"CN=Users,DC=contoso,DC=local",Tommy,Davis,Management analyst,Tel Aviv,contoso.local,IL
Douglas Larson,TRUE,DouglasL,DouglasL@contoso.local,,"CN=Users,DC=contoso,DC=local",Douglas,Larson,Student affairs administrator,Tel Aviv,contoso.local,IL
Natasha Richmond,TRUE,NatashaR,NatashaR@contoso.local,,"CN=Users,DC=contoso,DC=local",Natasha,Richmond,Electronic publisher,Tel Aviv,contoso.local,IL
Garry Rockwell,TRUE,GarryR,GarryR@contoso.local,,"CN=Users,DC=contoso,DC=local",Garry,Rockwell,Principal,Tel Aviv,contoso.local,IL
David Eversole,TRUE,DavidE,DavidE@contoso.local,,"CN=Users,DC=contoso,DC=local",David,Eversole,Keying machine operator,Tel Aviv,contoso.local,IL
Donnie Budd,TRUE,DonnieB,DonnieB@contoso.local,,"CN=Users,DC=contoso,DC=local",Donnie,Budd,Underwriter,Tel Aviv,contoso.local,IL
Henrietta Henson,TRUE,HenriettaH,HenriettaH@contoso.local,,"CN=Users,DC=contoso,DC=local",Henrietta,Henson,Home health aide,Tel Aviv,contoso.local,IL
Theresa Hunt,TRUE,TheresaH,TheresaH@contoso.local,,"CN=Users,DC=contoso,DC=local",Theresa,Hunt,Mason,Tel Aviv,contoso.local,IL
Daniel Huddleston,TRUE,DanielH,DanielH@contoso.local,,"CN=Users,DC=contoso,DC=local",Daniel,Huddleston,Lead abatement worker,Tel Aviv,contoso.local,IL
Karen Trimmer,TRUE,KarenT,KarenT@contoso.local,,"CN=Users,DC=contoso,DC=local",Karen,Trimmer,Grocery bagger,Tel Aviv,contoso.local,IL
Ronnie Thompson,TRUE,RonnieT,RonnieT@contoso.local,,"CN=Users,DC=contoso,DC=local",Ronnie,Thompson,Veterinary technician,Tel Aviv,contoso.local,IL
Jean Tidd,TRUE,JeanT,JeanT@contoso.local,,"CN=Users,DC=contoso,DC=local",Jean,Tidd,Military officer,Tel Aviv,contoso.local,IL
Nichelle Reynolds,TRUE,NichelleR,NichelleR@contoso.local,,"CN=Users,DC=contoso,DC=local",Nichelle,Reynolds,Vocational counselor,Tel Aviv,contoso.local,IL
Terry Frye,TRUE,TerryF,TerryF@contoso.local,,"CN=Users,DC=contoso,DC=local",Terry,Frye,Timekeeping clerk,Tel Aviv,contoso.local,IL
Ramona Guy,TRUE,RamonaG,RamonaG@contoso.local,,"CN=Users,DC=contoso,DC=local",Ramona,Guy,Dinkey operator,Tel Aviv,contoso.local,IL
Brian Clark,TRUE,BrianC,BrianC@contoso.local,,"CN=Users,DC=contoso,DC=local",Brian,Clark,Survey researcher,Tel Aviv,contoso.local,IL
Clarita Howe,TRUE,ClaritaH,ClaritaH@contoso.local,,"CN=Users,DC=contoso,DC=local",Clarita,Howe,Computer scientist,Tel Aviv,contoso.local,IL
Francisco Lawrence,TRUE,FranciscoL,FranciscoL@contoso.local,,"CN=Users,DC=contoso,DC=local",Francisco,Lawrence,Power distributor,Tel Aviv,contoso.local,IL
Andrea Holloman,TRUE,AndreaH,AndreaH@contoso.local,,"CN=Users,DC=contoso,DC=local",Andrea,Holloman,Legal secretary,Tel Aviv,contoso.local,IL
Daniel Davis,TRUE,DanielD,DanielD@contoso.local,,"CN=Users,DC=contoso,DC=local",Daniel,Davis,Inside wire installer,Tel Aviv,contoso.local,IL
Dennis Gibson,TRUE,DennisG,DennisG@contoso.local,,"CN=Users,DC=contoso,DC=local",Dennis,Gibson,Media outreach specialist,Tel Aviv,contoso.local,IL
Karen Rosol,TRUE,KarenR,KarenR@contoso.local,,"CN=Users,DC=contoso,DC=local",Karen,Rosol,Caster,Tel Aviv,contoso.local,IL
Beth Sowers,TRUE,BethS,BethS@contoso.local,,"CN=Users,DC=contoso,DC=local",Beth,Sowers,Gaming and sports book writer,Tel Aviv,contoso.local,IL
Lillie Brown,TRUE,LillieB,LillieB@contoso.local,,"CN=Users,DC=contoso,DC=local",Lillie,Brown,Poultry farmer,Tel Aviv,contoso.local,IL
Leslie Wood,TRUE,LeslieW,LeslieW@contoso.local,,"CN=Users,DC=contoso,DC=local",Leslie,Wood,Weaving machine operator,Tel Aviv,contoso.local,IL
Cornelius Davies,TRUE,CorneliusD,CorneliusD@contoso.local,,"CN=Users,DC=contoso,DC=local",Cornelius,Davies,Heavy vehicle and mobile equipment service technician,Tel Aviv,contoso.local,IL
Andre Bartlett,TRUE,AndreB,AndreB@contoso.local,,"CN=Users,DC=contoso,DC=local",Andre,Bartlett,Hand compositor,Tel Aviv,contoso.local,IL
